step,wall_time,value
5,1749377998.3077028,100.0
7,1749378003.367665,100.0
15,1749378022.7019007,100.0
16,1749378025.0980577,100.0
21,1749378037.3234887,100.0
22,1749378039.7259753,100.0
23,1749378042.1077623,100.0
28,1749378054.2784066,100.0
30,1749378059.0565875,100.0
37,1749378075.9489794,100.0
39,1749378080.7986863,100.0
42,1749378088.392301,100.0
49,1749378101.2422748,0.0
51,1749378103.642568,0.0
52,1749378104.7416286,0.0
56,1749378109.4633493,99.21875
66,1749378120.749012,100.0
69,1749378124.037739,100.0
72,1749378127.3429296,100.0
78,1749378134.0132005,100.0
81,1749378137.3680067,100.0
85,1749378141.7251768,100.0
89,1749378146.1107063,100.0
94,1749378151.7506595,100.0
95,1749378152.899971,100.0
104,1749378168.969076,0.0
106,1749378173.2715971,0.0
107,1749378175.406505,0.0
111,1749378183.7351072,0.0
116,1749378194.3545501,3.90625
121,1749378204.880241,7.8125
127,1749378217.5589418,22.65625
134,1749378232.0821662,53.90625
136,1749378236.402046,50.0
138,1749378240.5517662,73.4375
142,1749378249.1641674,89.84375
145,1749378255.8135233,46.875
146,1749378257.8991964,0.0
151,1749378268.4105906,0.0
156,1749378278.9628987,0.0
160,1749378287.1968832,9.375
161,1749378289.4414024,10.9375
167,1749378301.8524933,42.96875
171,1749378310.1332755,66.40625
175,1749378318.4551058,98.4375
188,1749378345.8933115,100.0
190,1749378350.2201717,100.0
194,1749378358.2834702,0.0
201,1749378370.82204,0.0
202,1749378372.6073256,14.84375
203,1749378374.4117858,91.40625
211,1749378388.3407264,100.0
213,1749378391.6961436,100.0
214,1749378393.3982759,100.0
216,1749378396.7643204,100.0
219,1749378401.8835049,100.0
221,1749378405.3375056,100.0
223,1749378408.7452898,100.0
225,1749378412.0726175,100.0
227,1749378415.3973496,100.0
232,1749378423.916989,100.0
239,1749378436.0217252,3.125
252,1749378460.7437387,14.84375
257,1749378470.5030797,100.0
260,1749378476.233002,100.0
275,1749378504.9218004,100.0
280,1749378514.8467891,100.0
286,1749378526.138411,0.0
297,1749378546.653351,100.0
299,1749378550.4337895,100.0
305,1749378561.4184206,100.0
307,1749378565.0611334,100.0
313,1749378576.237883,100.0
324,1749378597.168607,100.0
326,1749378601.2839441,100.0
327,1749378603.3121617,61.71875
332,1749378612.3375094,0.0
333,1749378614.0051444,0.0
338,1749378622.9037948,0.0
340,1749378626.315603,0.0
341,1749378627.989288,20.3125
353,1749378648.634911,100.0
363,1749378665.8345168,100.0
370,1749378677.7182512,100.0
372,1749378681.1797507,100.0
374,1749378684.6060865,100.0
376,1749378688.2113903,56.25
378,1749378692.4423287,0.0
388,1749378713.658599,0.0
391,1749378719.8464599,0.0
395,1749378728.0751724,14.84375
405,1749378748.937744,100.0
411,1749378761.2791522,100.0
412,1749378763.3860943,100.0
414,1749378767.6215627,100.0
420,1749378780.3289437,100.0
424,1749378787.8762505,0.0
429,1749378797.0324004,0.0
436,1749378809.3490026,0.0
443,1749378821.6180818,97.65625
450,1749378833.9646153,100.0
454,1749378840.9298084,100.0
456,1749378844.401388,100.0
465,1749378860.3416646,100.0
469,1749378865.3729038,0.0
476,1749378865.6957674,0.0
485,1749378866.1118164,61.71875
492,1749378866.4390955,98.4375
496,1749378866.6328843,100.0
499,1749378866.7679117,100.0
505,1749378867.0475216,100.0
513,1749378867.422246,100.0
522,1749378867.849218,0.0
526,1749378868.0428038,0.0
530,1749378868.2326503,11.71875
538,1749378868.603286,100.0
544,1749378868.8870008,100.0
545,1749378868.9343414,100.0
551,1749378869.2124,100.0
552,1749378869.2600412,100.0
560,1749378869.645008,100.0
564,1749378869.8373075,100.0
571,1749378870.1633804,0.0
577,1749378870.443755,0.0
578,1749378870.4911406,0.0
580,1749378870.5846193,0.0
590,1749378871.0488791,25.0
596,1749378871.331923,92.96875
597,1749378871.378858,94.53125
600,1749378871.51301,100.0
606,1749378871.7944953,100.0
607,1749378871.8405588,100.0
608,1749378871.8848438,100.0
615,1749378872.2117205,0.0
622,1749378872.5393329,0.0
631,1749378872.970781,100.0
